"stock_pick1","top1","beta1","yearreturn1","max_retracement1","calmar_ratio1","sharprate_ratio1","vol1","max_retracement_point1","stock_pick2","top2","beta2","yearreturn2","max_retracement2","calmar_ratio2","sharprate_ratio2","vol2","max_retracement_point2","stock_pick3","top3","beta3","yearreturn3","max_retracement3","calmar_ratio3","sharprate_ratio3","vol3","max_retracement_point3","1y","1c","1s","2y","2c","2s","3y","3c","3s"
"allA_zz500weight_zz500ic",0.01,0.9,0.176,"8.9%",1.978,2.056,"7.1%","2012-01-18","allA_zz500weight_zz500ic",0.01,0.9,0.104,"4.8%",2.167,1.104,"6.7%","2009-08-18","allA_zz500weight_zz500ic",0.01,0.9,0.254,"10.8%",2.352,2.358,"9.5%","2009-08-20",1.86286809699954,-0.836816190400747,-0.648379589522027,-3.01858649151878,-3.02922384247784,-3.17756165431735,-3.01858649151878,-3.02922384247784,-3.17756165431735
"allA_zz500weight_zz500ic",0.02,0.9,0.166,"7.8%",2.128,2.194,"6.2%","2012-01-18","allA_zz500weight_zz500ic",0.02,0.9,0.156,"4.3%",3.628,2.136,"5.9%","2009-08-18","allA_zz500weight_zz500ic",0.02,0.9,0.293,"11.8%",2.483,2.922,"9%","2009-08-20",1.4407680750208,-0.214390924813415,0.0906874536005473,1.06908271574624,-0.270176400230973,-0.463105807022356,1.06908271574624,-0.270176400230973,-0.463105807022356
"allA_zz500weight_zz500ic",0.03,0.9,0.158,"6.6%",2.394,2.327,"5.5%","2012-01-18","allA_zz500weight_zz500ic",0.03,0.9,0.136,"4.2%",3.238,1.927,"5.5%","2009-08-18","allA_zz500weight_zz500ic",0.03,0.9,0.276,"11.3%",2.442,2.764,"8.9%","2009-08-20",1.1030880574378,0.889376546161454,0.802976705305637,-0.503097748586463,-1.00667777085129,-1.01283572183307,-0.503097748586463,-1.00667777085129,-1.01283572183307
"allA_zz500weight_zz500ic",0.04,0.9,0.147,"6.4%",2.297,2.294,"5.1%","2012-01-18","allA_zz500weight_zz500ic",0.04,0.9,0.151,"4.2%",3.595,2.283,"5.3%","2009-08-18","allA_zz500weight_zz500ic",0.04,0.9,0.263,"10.8%",2.435,2.648,"8.8%","2009-08-20",0.638778033261173,0.486874874414979,0.62624328195024,0.67603759966306,-0.332495746975768,-0.0764536659832438,0.67603759966306,-0.332495746975768,-0.0764536659832438
"allA_zz500weight_zz500ic",0.05,0.9,0.153,"6%",2.55,2.562,"4.8%","2012-01-18","allA_zz500weight_zz500ic",0.05,0.9,0.151,"4%",3.775,2.373,"5.1%","2009-08-17","allA_zz500weight_zz500ic",0.05,0.9,0.263,"10.6%",2.481,2.678,"8.7%","2009-08-20",0.892038046448423,1.53669882237228,2.06153290192741,0.67603759966306,0.0074279625412989,0.160272134652948,0.67603759966306,0.0074279625412989,0.160272134652948
"allA_zz500weight_zz500ic",0.06,0.9,0.142,"5.7%",2.491,2.435,"4.6%","2012-01-18","allA_zz500weight_zz500ic",0.06,0.9,0.15,"4%",3.75,2.4,"5%","2009-08-18","allA_zz500weight_zz500ic",0.06,0.9,0.247,"10.8%",2.287,2.523,"8.6%","2009-08-20",0.427728022271799,1.29187821790793,1.38137699992331,0.597428576446425,-0.0397836637805159,0.231289874843805,0.597428576446425,-0.0397836637805159,0.231289874843805
"allA_zz500weight_zz500ic",0.07,0.9,0.132,"5.5%",2.4,2.318,"4.4%","2012-01-18","allA_zz500weight_zz500ic",0.07,0.9,0.152,"3.9%",3.897,2.49,"4.9%","2009-08-18","allA_zz500weight_zz500ic",0.07,0.9,0.224,"10.3%",2.175,2.282,"8.5%","2009-08-20",0.00562800029305054,0.914273556784946,0.754776680754166,0.754646622879695,0.237820698991756,0.468015675479997,0.754646622879695,0.237820698991756,0.468015675479997
"allA_zz500weight_zz500ic",0.08,0.9,0.128,"5.5%",2.327,2.279,"4.3%","2010-05-21","allA_zz500weight_zz500ic",0.08,0.9,0.147,"3.8%",3.868,2.438,"4.8%","2009-08-18","allA_zz500weight_zz500ic",0.08,0.9,0.233,"10.3%",2.262,2.388,"8.5%","2009-08-20",-0.163212008498449,0.611359927532445,0.545909907697785,0.36160150679652,0.18305521245845,0.331240768445753,0.36160150679652,0.18305521245845,0.331240768445753
"allA_zz500weight_zz500ic",0.09,0.9,0.121,"5.2%",2.327,2.167,"4.2%","2012-01-19","allA_zz500weight_zz500ic",0.09,0.9,0.147,"3.8%",3.868,2.489,"4.7%","2009-08-18","allA_zz500weight_zz500ic",0.09,0.9,0.233,"10.6%",2.198,2.417,"8.4%","2009-08-20",-0.458682023883573,0.611359927532445,-0.0539126200538702,0.36160150679652,0.18305521245845,0.465385388806261,0.36160150679652,0.18305521245845,0.465385388806261
"allA_zz500weight_zz500ic",0.1,0.9,0.113,"5.3%",2.132,2.024,"4.1%","2012-01-18","allA_zz500weight_zz500ic",0.1,0.9,0.145,"3.6%",4.028,2.5,"4.6%","2009-08-17","allA_zz500weight_zz500ic",0.1,0.9,0.23,"10.3%",2.233,2.439,"8.2%","2009-08-20",-0.796362041466572,-0.197792917731086,-0.819757454593928,0.20438346036325,0.485209620918066,0.494318542217351,0.20438346036325,0.485209620918066,0.494318542217351
"allA_zz500weight_zz500ic",0.11,0.9,0.11,"5.2%",2.115,1.951,"4.1%","2012-01-19","allA_zz500weight_zz500ic",0.11,0.9,0.147,"3.3%",4.455,2.659,"4.4%","2009-08-18","allA_zz500weight_zz500ic",0.11,0.9,0.225,"10.1%",2.228,2.378,"8.2%","2009-08-20",-0.922992048060197,-0.268334447830983,-1.2107132092892,0.36160150679652,1.29158419849467,0.912534123341289,0.36160150679652,1.29158419849467,0.912534123341289
"allA_zz500weight_zz500ic",0.12,0.9,0.111,"5.5%",2.018,2.025,"4%","2012-01-19","allA_zz500weight_zz500ic",0.12,0.9,0.146,"3.4%",4.294,2.636,"4.4%","2009-08-17","allA_zz500weight_zz500ic",0.12,0.9,0.203,"10%",2.03,2.11,"8.2%","2009-08-20",-0.880782045862322,-0.670836119577459,-0.814401896310432,0.282992483579885,0.987541324982177,0.852037529845374,0.282992483579885,0.987541324982177,0.852037529845374
"allA_zz500weight_zz500ic",0.13,0.9,0.111,"5.7%",1.947,2.077,"3.9%","2012-01-19","allA_zz500weight_zz500ic",0.13,0.9,0.136,"3.4%",4,2.409,"4.4%","2009-08-17","allA_zz500weight_zz500ic",0.13,0.9,0.206,"10%",2.06,2.173,"8.1%","2009-08-20",-0.880782045862322,-0.965450745288795,-0.535912865568592,-0.503097748586463,0.432332599437634,0.254962454907424,-0.503097748586463,0.432332599437634,0.254962454907424
"allA_zz500weight_zz500ic",0.14,0.9,0.106,"5.8%",1.828,2,"3.8%","2012-01-19","allA_zz500weight_zz500ic",0.14,0.9,0.133,"3.4%",3.912,2.395,"4.3%","2009-08-17","allA_zz500weight_zz500ic",0.14,0.9,0.214,"9.9%",2.162,2.3,"8%","2009-08-20",-1.0918320568517,-1.45924145598808,-0.948290853397855,-0.738924818236368,0.266147674784845,0.218138441475128,-0.738924818236368,0.266147674784845,0.218138441475128
"allA_zz500weight_zz500ic",0.15,0.9,0.104,"5.9%",1.763,1.947,"3.8%","2012-01-19","allA_zz500weight_zz500ic",0.15,0.9,0.135,"3.3%",4.091,2.442,"4.3%","2009-08-17","allA_zz500weight_zz500ic",0.15,0.9,0.218,"9.8%",2.224,2.35,"8%","2009-08-20",-1.17625206124745,-1.72895907107592,-1.23213544242319,-0.581706771803098,0.60418291924904,0.341761915140695,-0.581706771803098,0.60418291924904,0.341761915140695
