"","trade_code","weight","industry"
"600015.SH","600015.SH",0.19326720769462,"银行"
"000732.SZ","000732.SZ",0.0178004875930935,"房地产"
"000620.SZ","000620.SZ",0.0178004875930935,"房地产"
"600648.SH","600648.SH",0.0178004875930935,"房地产"
"002118.SZ","002118.SZ",0.0159052199178439,"医药生物"
"002390.SZ","002390.SZ",0.0159052199178439,"医药生物"
"002424.SZ","002424.SZ",0.0159052199178439,"医药生物"
"300147.SZ","300147.SZ",0.0159052199178439,"医药生物"
"000839.SZ","000839.SZ",0.00571085061617072,"综合"
"002271.SZ","002271.SZ",0.0103196072537822,"建筑材料"
"000418.SZ","000418.SZ",0.0327622482717163,"家用电器"
"000951.SZ","000951.SZ",0.0209898807734696,"汽车"
"000550.SZ","000550.SZ",0.0209898807734696,"汽车"
"002461.SZ","002461.SZ",0.0266506362087967,"食品饮料"
"600429.SH","600429.SH",0.0266506362087967,"食品饮料"
"002384.SZ","002384.SZ",0.0129245566576495,"电子"
"601231.SH","601231.SH",0.0129245566576495,"电子"
"002308.SZ","002308.SZ",0.0116721771365595,"计算机"
"600536.SH","600536.SH",0.0116721771365595,"计算机"
"000088.SZ","000088.SZ",0.0135757940086164,"交通运输"
"600004.SH","600004.SH",0.0135757940086164,"交通运输"
"002489.SZ","002489.SZ",0,"轻工制造"
"600900.SH","600900.SH",0.0192365494439435,"公用事业"
"601158.SH","601158.SH",0.0192365494439435,"公用事业"
"002194.SZ","002194.SZ",0.0137260795511472,"通信"
"600481.SH","600481.SH",0.0112714156898106,"机械设备"
"600499.SH","600499.SH",0.0112714156898106,"机械设备"
"600108.SH","600108.SH",0.00370704338242661,"农林牧渔"
"600201.SH","600201.SH",0.00370704338242661,"农林牧渔"
"601668.SH","601668.SH",0.0158300771465785,"建筑装饰"
"600820.SH","600820.SH",0.0158300771465785,"建筑装饰"
"600122.SH","600122.SH",0.0113215108706542,"商业贸易"
"000861.SZ","000861.SZ",0.0113215108706542,"商业贸易"
"002408.SZ","002408.SZ",0.0104197976154694,"化工"
"601208.SH","601208.SH",0.0104197976154694,"化工"
"002221.SZ","002221.SZ",0.0104197976154694,"化工"
"600456.SH","600456.SH",0.0139932538489797,"有色金属"
"000603.SZ","000603.SZ",0.0139932538489797,"有色金属"
"002237.SZ","002237.SZ",0.0139932538489797,"有色金属"
"601999.SH","601999.SH",0.0161306482316401,"传媒"
"300059.SZ","300059.SZ",0.0161306482316401,"传媒"
"000982.SZ","000982.SZ",0.00270513976555455,"纺织服装"
"601011.SH","601011.SH",0.0182346458270714,"采掘"
"000552.SZ","000552.SZ",0.0182346458270714,"采掘"
"002028.SZ","002028.SZ",0.0088668470093177,"电气设备"
"002498.SZ","002498.SZ",0.0088668470093177,"电气设备"
"601336.SH","601336.SH",0.0684801122132051,"非银金融"
"601601.SH","601601.SH",0.0684801122132051,"非银金融"
"600010.SH","600010.SH",0.0109207494239054,"钢铁"
"600038.SH","600038.SH",0.0225428313796213,"国防军工"
