证券代码,买卖数量,买卖日期,买卖价格,证券类型,买卖方向,说明,
000402.SZ,6800,2015/4/1,12.09,股票,卖出,,
000792.SZ,1800,2015/4/1,29.4,股票,卖出,,
000937.SZ,2100,2015/4/1,8.76,股票,卖出,,
000960.SZ,2200,2015/4/1,22.59,股票,卖出,,
000983.SZ,4300,2015/4/1,8.36,股票,卖出,,
002146.SZ,1800,2015/4/1,21.05,股票,卖出,,
002470.SZ,700,2015/4/1,36.81,股票,卖出,,
002475.SZ,700,2015/4/1,39.16,股票,卖出,,
600038.SH,700,2015/4/1,47.48,股票,卖出,,
600058.SH,1200,2015/4/1,20.35,股票,卖出,,
600143.SH,4400,2015/4/1,8.55,股票,卖出,,
600153.SH,4900,2015/4/1,14.16,股票,卖出,,
600188.SH,1100,2015/4/1,15.16,股票,卖出,,
600309.SH,3300,2015/4/1,24.05,股票,卖出,,
600315.SH,1600,2015/4/1,42.7,股票,卖出,,
600340.SH,1300,2015/4/1,55.55,股票,卖出,,
600348.SH,3000,2015/4/1,9.69,股票,卖出,,
600372.SH,1200,2015/4/1,31.36,股票,卖出,,
600383.SH,13400,2015/4/1,11.01,股票,卖出,,
600395.SH,1500,2015/4/1,13.03,股票,卖出,,
600549.SH,1000,2015/4/1,38,股票,卖出,,
600648.SH,800,2015/4/1,35.2,股票,卖出,,
600663.SH,1100,2015/4/1,37.61,股票,卖出,,
600893.SH,1600,2015/4/1,38.27,股票,卖出,,
601225.SH,5500,2015/4/1,8.12,股票,卖出,,
601231.SH,300,2015/4/1,37.7,股票,卖出,,
601258.SH,3600,2015/4/1,8.43,股票,卖出,,
601333.SH,9800,2015/4/1,4.8,股票,卖出,,
601699.SH,2500,2015/4/1,12.14,股票,卖出,,
601898.SH,4700,2015/4/1,6.9,股票,卖出,,
601958.SH,2600,2015/4/1,11.4,股票,卖出,,
603993.SH,700,2015/4/1,13.6,股票,卖出,,
